customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0039-HYJCH,2021-11-20,Organic,2022-11-20,Basic,Monthly,2022-10-05,Switched to competitor,15.05,312,87,1,lata,India,Telangana,Female,2005-12-07,2022-08-07,N,31.0,1.0
0040-DMIOU,2020-07-06,Refferal,2022-07-06,Premium,Annual,2021-12-13,Poor streaming quality,65.34,343,92,1,hema,India,Uttar Pradesh,Male,1988-06-21,2021-03-13,N,78.0,2.0
0041-LFLLG,2021-05-20,Paid,2023-05-20,Standard,Annual,,,16.21,729,13,0,dinesh,India,Maharashtra,Female,2002-06-06,2024-07-01,N,90.0,1.0
0042-VIWVU,2020-05-22,Refferal,2022-05-22,Basic,Annual,,,11.72,1019,28,0,kunal,India,Uttar Pradesh,Female,2000-01-03,,,,
0043-CTUFR,2019-12-18,Paid,2020-12-18,Basic,Monthly,,,16.5,874,13,0,rekha,India,Uttar Pradesh,Female,1984-05-08,,,,
0044-XHFOM,2019-12-18,Paid,2020-12-18,Basic,Monthly,,,8.26,619,4,0,om,Nepal,Kathmandu,Female,1978-04-10,2025-06-20,Y,5.0,2.0
0045-IUWRH,2019-10-21,Paid,2020-10-21,Premium,Annual,2020-04-23,Switched to competitor,31.91,100,80,1,dinesh,India,Delhi,Male,1983-08-04,2020-03-22,N,58.0,1.0
0046-VKYYB,2023-10-02,Paid,2024-10-02,Premium,Annual,,,89.22,4996,14,0,chandan,Nepal,Kathmandu,Female,1989-08-10,,,,
0047-HBZKM,2023-08-10,Refferal,2024-08-10,Basic,Annual,2024-09-02,Poor streaming quality,9.3,391,69,1,amit,India,Nagaland,Male,1992-02-06,2024-06-26,N,55.0,1.0
0048-ICGSW,2020-05-20,Organic,2021-05-20,Premium,Monthly,,,74.91,5093,19,0,indira,India,Karnataka,Male,1995-03-09,2024-04-23,N,64.0,1.0
0049-KGUPM,2021-10-09,Refferal,2022-10-09,Basic,Annual,2022-08-29,Forgot to cancel trial,7.9,384,66,1,sanjay,Nepal,Kathmandu,Female,1989-02-20,,,,
0050-UOEIE,2023-07-21,Organic,2025-07-21,Standard,Annual,,,17.87,1090,27,0,bharat,India,Maharashtra,Male,1990-09-21,2024-01-02,Y,27.0,1.0
0051-HXRRI,2021-02-25,Paid,2023-02-25,Standard,Annual,2021-03-28,Forgot to cancel trial,17.45,251,94,1,rajiv,India,Rajasthan,Female,2001-09-02,2021-03-17,N,86.0,1.0
0052-XSNSM,2022-02-01,Refferal,2023-02-01,Premium,Annual,,,72.09,5406,1,0,alok,India,Maharashtra,Male,1983-09-05,,,,
0053-LHEQP,2021-09-23,Refferal,2023-09-23,Premium,Annual,,,50.91,2800,31,0,meena,India,Karnataka,Female,2005-02-21,,,,
0054-CYBDE,2021-07-11,Organic,2022-07-11,Standard,Monthly,,,17.73,1028,1,0,pooja,India,Telangana,Male,2004-10-17,,,,
0055-UFZVN,2021-04-23,Paid,2022-04-23,Basic,Annual,,,12.71,533,27,0,devraj,India,Uttar Pradesh,Male,1989-09-16,2023-06-13,Y,26.0,1.0
0056-TCMMT,2022-02-17,Organic,2024-02-17,Standard,Annual,,,14.05,618,10,0,lokesh,India,Delhi,Female,2005-01-05,,,,
0057-OQIRA,2022-09-02,Paid,2023-09-02,Basic,Annual,,,9.34,504,19,0,dev,India,Meghalaya,Female,1995-02-28,,,,
0058-VXDVR,2021-01-10,Organic,2022-01-10,Basic,Monthly,,,10.57,771,16,0,jaya,India,Karnataka,Male,1989-03-23,,,,
0059-YIYUK,2023-03-08,Paid,2024-03-08,Premium,Monthly,,,54.19,4443,17,0,pradeep,India,Delhi,Male,1980-02-20,2023-12-28,N,50.0,2.0
0060-DJNFO,2022-02-08,Paid,2023-02-08,Premium,Monthly,,,48.45,4069,19,0,devraj,India,Rajasthan,Female,1997-05-15,2024-04-29,Y,23.0,2.0
0061-AXXIQ,2019-11-21,Refferal,2020-11-21,Standard,Monthly,2020-01-07,Forgot to cancel trial,14.15,107,88,1,kiran,India,Nagaland,Female,1982-11-07,2019-12-18,Y,9.0,1.0
0062-YFQDU,2021-02-15,Paid,2022-02-15,Premium,Annual,2022-02-26,Poor streaming quality,31.12,86,88,1,xena,India,Meghalaya,Female,2001-03-09,,,,
0063-JUQTG,2022-11-12,Refferal,2023-11-12,Standard,Annual,,,16.69,1602,40,0,vihaan,India,Rajasthan,Male,1989-06-22,,,,
0064-ELYFR,2020-01-02,Organic,2022-01-02,Basic,Annual,,,16.95,1627,16,0,hari,India,Nagaland,Male,1995-08-23,,,,
0065-YQATK,2020-07-21,Refferal,2021-07-21,Premium,Annual,,,81.02,3402,18,0,deepak,India,Uttar Pradesh,Female,1996-12-23,,,,
0066-PADLZ,2021-01-13,Refferal,2023-01-13,Standard,Annual,,,14.75,663,30,0,kavita,India,Uttar Pradesh,Female,2005-04-28,,,,
0067-JHBHS,2023-04-19,Organic,2024-04-19,Premium,Monthly,2023-11-03,Too expensive,36.54,181,65,1,kunal,India,Maharashtra,Male,2000-06-08,,,,
0068-CCXPC,2019-06-26,Organic,2020-06-26,Standard,Monthly,,,17.14,874,2,0,pooja,India,Delhi,Female,2000-03-04,2024-03-16,N,38.0,1.0
0069-YRYEE,2019-12-26,Refferal,2020-12-26,Standard,Monthly,,,17.63,1216,20,0,omkar,India,Uttar Pradesh,Female,1991-10-04,,,,
0070-VPRFI,2022-02-03,Refferal,2024-02-03,Standard,Annual,,,16.42,1297,18,0,vivaan,India,Maharashtra,Female,2002-07-14,,,,
0071-QTNGR,2019-11-21,Organic,2020-11-21,Standard,Annual,2020-07-19,Not enough content,15.71,244,94,1,yamini,India,Meghalaya,Female,1994-09-10,2020-03-10,Y,13.0,1.0
0072-YXWGW,2021-03-18,Organic,2022-03-18,Basic,Annual,,,12.85,1053,22,0,bhavna,India,Delhi,Female,1977-02-27,2024-12-10,N,84.0,1.0
0073-JMVUL,2022-04-28,Organic,2023-04-28,Basic,Monthly,2022-12-02,Switched to competitor,8.07,333,82,1,udit,India,Maharashtra,Female,1994-05-12,2022-09-19,N,33.0,1.0
0074-OQODH,2019-03-28,Paid,2020-03-28,Premium,Annual,,,61.77,5373,10,0,faisal,India,Rajasthan,Male,1980-05-23,,,,
0075-HCKAS,2021-10-20,Paid,2022-10-20,Basic,Annual,,,15.82,680,40,0,vivaan,India,Karnataka,Male,1987-07-15,,,,
0076-RHSHA,2019-06-14,Refferal,2020-06-14,Standard,Monthly,,,14.43,1024,38,0,yash,India,Uttar Pradesh,Female,1990-10-15,,,,
0077-CWUBH,2020-05-10,Organic,2022-05-10,Basic,Annual,,,8.19,417,28,0,lata,India,Maharashtra,Male,1987-10-02,2021-08-25,N,75.0,1.0
0078-CBKCQ,2022-10-13,Refferal,2024-10-13,Premium,Annual,,,41.84,2092,21,0,myra,India,Telangana,Male,1988-01-15,,,,
0079-HIVPG,2022-09-03,Refferal,2024-09-03,Basic,Annual,2023-05-17,Not enough content,15.7,79,75,1,hitesh,India,Uttar Pradesh,Female,1977-07-28,2022-12-12,N,74.0,1.0
0080-REXSS,2019-03-25,Refferal,2020-03-25,Basic,Monthly,,,13.27,1167,37,0,naresh,India,Delhi,Male,1978-03-09,,,,
0081-PHZPZ,2023-01-12,Paid,2024-01-12,Standard,Annual,,,15.23,959,4,0,pradeep,India,Meghalaya,Female,1979-08-03,,,,
0082-NGDDV,2023-11-07,Paid,2024-11-07,Premium,Monthly,,,44.14,1898,10,0,myra,India,Karnataka,Female,1989-10-18,,,,
0083-NLNNO,2023-10-06,Refferal,2025-10-06,Standard,Annual,,,15.48,1377,27,0,dinesh,India,Karnataka,Male,1976-04-23,2025-07-14,N,38.0,1.0
0084-XBVUU,2019-10-22,Paid,2020-10-22,Premium,Monthly,,,31.17,1496,26,0,mukesh,India,Karnataka,Female,1984-05-24,,,,
0085-DBMXK,2022-09-12,Refferal,2023-09-12,Basic,Monthly,,,7.17,437,14,0,kabir,India,Rajasthan,Female,1995-06-27,,,,
0086-ZDHGG,2023-12-17,Refferal,2024-12-17,Basic,Monthly,,,7.37,353,40,0,qamar,India,Nagaland,Male,1979-03-03,,,,
0087-ROENF,2022-01-14,Refferal,2023-01-14,Standard,Monthly,2022-09-28,Forgot to cancel trial,15.45,269,83,1,sunita,India,Delhi,Male,2001-12-25,2022-09-12,N,54.0,1.0
0088-IOHCO,2020-10-05,Organic,2022-10-05,Standard,Annual,,,14.2,1065,24,0,bhavna,India,Uttar Pradesh,Female,1999-05-25,,,,
0089-ZRDBU,2020-07-03,Refferal,2021-07-03,Basic,Annual,2020-08-15,Poor streaming quality,15.16,242,68,1,tarun2,Nepal,Kathmandu,Male,1984-02-25,2020-07-09,Y,5.0,1.0
0090-RACYH,2020-12-16,Refferal,2022-12-16,Basic,Annual,2021-02-03,Not enough content,13.14,116,78,1,gopal,India,Karnataka,Female,2000-03-05,2021-01-19,N,66.0,2.0
0091-FNPPG,2023-10-08,Refferal,2024-10-08,Premium,Monthly,,,72.73,5745,1,0,nikhil,India,Telangana,Female,1977-02-27,,,,
0092-MBFMA,2023-09-17,Organic,2024-09-17,Standard,Annual,,,15.55,979,25,0,bharat,India,Telangana,Male,1996-11-03,2023-11-26,Y,28.0,1.0
0093-MIZZO,2022-12-16,Refferal,2023-12-16,Standard,Monthly,2023-02-16,Poor streaming quality,16.52,190,67,1,manoj,India,Karnataka,Female,1979-01-12,2023-02-11,Y,34.0,2.0
0094-JNWXZ,2019-06-14,Paid,2021-06-14,Premium,Annual,2020-08-12,Not enough content,74.51,294,76,1,varun,India,Maharashtra,Male,1984-06-28,,,,
0095-RVWPE,2020-09-10,Refferal,2022-09-10,Standard,Annual,,,14.4,849,19,0,bhavna,Nepal,Kathmandu,Female,2000-02-24,,,,
0096-GJGBS,2022-05-21,Refferal,2023-05-21,Standard,Annual,,,14.29,1028,24,0,tarun2,India,Telangana,Male,1997-08-12,,,,
0097-XRBXK,2019-04-25,Organic,2020-04-25,Premium,Monthly,,,67.44,2832,37,0,opal,India,Delhi,Male,1979-10-22,,,,
0098-BBSPQ,2021-07-11,Refferal,2022-07-11,Basic,Monthly,,,13.49,553,8,0,opal,India,Uttar Pradesh,Female,1986-08-25,,,,
0099-QFBQC,2022-04-20,Refferal,2024-04-20,Basic,Annual,2022-12-10,Switched to competitor,13.93,77,73,1,rajiv,Nepal,Kathmandu,Female,2004-09-04,2022-10-08,Y,7.0,2.0
0100-FCTCV,2023-04-04,Paid,2024-04-04,Basic,Monthly,2023-09-02,Poor streaming quality,16.84,224,66,1,yamini,Nepal,Kathmandu,Female,2003-05-28,2023-08-24,Y,33.0,1.0
0101-HMDSH,2023-02-05,Paid,2025-02-05,Standard,Annual,,,16.56,1026,34,0,reyansh,India,Karnataka,Female,1987-12-24,2025-04-02,N,85.0,2.0
0102-STBTC,2020-06-17,Refferal,2022-06-17,Basic,Annual,,,15.45,880,36,0,sanjay,India,Maharashtra,Male,1991-03-10,2023-06-15,Y,25.0,1.0
0103-NVSSQ,2019-01-03,Refferal,2020-01-03,Premium,Annual,2019-06-17,Too expensive,89.29,356,91,1,rahul,India,Delhi,Male,1996-10-24,2019-06-13,N,68.0,1.0
0104-KIGVW,2022-08-15,Paid,2023-08-15,Standard,Monthly,,,14.81,1406,21,0,pankaj,India,Nagaland,Female,1984-08-03,,,,
0105-KHIME,2022-02-09,Organic,2024-02-09,Standard,Annual,,,14.98,1498,19,0,vishal,India,Meghalaya,Female,1979-06-17,,,,
0106-VUJOK,2020-08-17,Organic,2022-08-17,Basic,Annual,,,11.98,539,2,0,girish,India,Telangana,Male,2005-03-27,,,,
0107-YCAOT,2023-11-22,Paid,2025-11-22,Basic,Annual,,,9.85,659,7,0,sanjay,India,Uttar Pradesh,Male,1981-10-12,2024-12-01,N,76.0,1.0
0108-SDCRG,2022-09-15,Organic,2024-09-15,Standard,Annual,,,17.29,812,40,0,ishaan,India,Telangana,Male,1993-09-07,2024-10-19,N,73.0,1.0
0109-QIELC,2019-03-23,Organic,2020-03-23,Standard,Monthly,,,15.32,750,30,0,zara,India,Meghalaya,Male,1981-10-17,,,,
0110-HLJFO,2021-09-27,Refferal,2023-09-27,Basic,Annual,,,14.08,887,2,0,tina,India,Delhi,Female,2004-10-11,2024-01-29,N,33.0,1.0
0111-RWJTZ,2019-10-16,Refferal,2020-10-16,Premium,Monthly,,,33.27,2961,40,0,eshaan,India,Uttar Pradesh,Female,2005-11-26,,,,
0112-UQAVR,2022-03-14,Paid,2023-03-14,Basic,Annual,2022-12-10,Switched to competitor,11.09,305,73,1,pooja,India,Nagaland,Male,1993-12-04,2022-11-14,N,70.0,1.0
0113-JVDEI,2022-04-08,Refferal,2024-04-08,Premium,Annual,,,61.17,5444,20,0,vikram,India,Uttar Pradesh,Female,1992-06-22,2025-01-04,Y,16.0,1.0
0114-DDXRE,2020-05-02,Paid,2022-05-02,Standard,Annual,,,17.81,1442,29,0,zara,India,Rajasthan,Female,1978-10-22,2021-06-20,N,64.0,1.0
0115-IJTGW,2023-04-21,Organic,2024-04-21,Standard,Monthly,,,14.92,1268,22,0,zara,India,Rajasthan,Male,1978-10-24,,,,
0116-KGVUI,2020-05-11,Paid,2022-05-11,Standard,Annual,2020-09-09,Forgot to cancel trial,16.57,313,79,1,pradeep,India,Delhi,Male,2005-09-06,,,,
0117-QPIBC,2020-12-28,Paid,2022-12-28,Premium,Annual,,,84.12,6561,37,0,krishna,India,Delhi,Female,2003-03-02,2022-08-03,N,93.0,2.0
0118-UNIBA,2020-01-24,Refferal,2022-01-24,Standard,Annual,,,17.15,874,13,0,yash,India,Nagaland,Male,1985-03-24,,,,
0119-KYEUI,2020-08-11,Organic,2021-08-11,Standard,Monthly,,,17.73,975,25,0,jatin,India,Telangana,Female,1991-06-03,,,,
0120-FXORW,2020-01-22,Refferal,2021-01-22,Basic,Annual,,,11.64,1152,33,0,yash,India,Meghalaya,Female,1993-12-19,,,,
0121-NRADC,2022-03-15,Organic,2023-03-15,Standard,Monthly,,,16.98,1426,27,0,sandeep,India,Rajasthan,Male,1995-05-12,,,,
0122-WERBL,2022-09-23,Refferal,2023-09-23,Premium,Monthly,2022-12-19,Switched to competitor,47.04,143,97,1,omkar,Nepal,Kathmandu,Male,1999-04-22,2022-11-04,N,86.0,1.0
0123-SRENE,2023-07-15,Organic,2024-07-15,Premium,Annual,,,61.22,5264,20,0,ravi,India,Nagaland,Female,1977-09-15,2023-07-19,N,39.0,1.0
